Player,Team,Pos,Age,EXP,Type,Rights,GP,MPG,PPG,RPG,AGP,SPG,BPG,2019-2020 AAV
Johnathan Motley,LAC,PF,25,3,RFA,Bird,13,3.2,2.2,0.8,0.6,0.2,,-
Zylan Cheatham,NOP,SF,24,1,RFA,Non-Bird,,,,,,,,-
Josh Reaves,DAL,SG,23,1,RFA,Non-Bird,,,,,,,,-
Naz Mitrou-Long,IND,PG,27,3,RFA,Non-Bird,3,14,4.7,2,2.3,0.3,0.3,-
Matt Mooney,CLE,G,25,1,RFA,,,,,,,,,-
Kelan Martin,MIN,SF,25,1,RFA,Non-Bird,31,15.9,6.4,3.1,0.7,0.2,0.3,-
P.J. Dozier,DEN,PG,23,3,RFA,Non-Bird,21,11.1,4.1,1.4,1.4,0.3,0.2,-
Kobi Simmons,CHA,PG,23,3,RFA,Non-Bird,0,,,,,,,-
Moses Brown,POR,C,20,1,RFA,Non-Bird,,,,,,,,-
Tariq Owens,PHX,PF,25,1,RFA,Non-Bird,,,,,,,,-
Shaq Buchanan,MEM,G,23,1,RFA,Non-Bird,,,,,,,,-
Kadeem Allen,NYK,SG,27,3,RFA,Early Bird,10,11.7,5,0.9,2.1,0.5,0.2,-
Luguentz Dort,OKC,SG,21,1,RFA,Non-Bird,29,22,6.2,1.9,0.7,0.8,0.1,-
Michael Frazier,HOU,SG,26,2,RFA,Non-Bird,8,8.1,1.8,0.4,0.1,0.3,,-
DaQuan Jeffries,ORL,SF,23,1,RFA,Non-Bird,,,,,,,,-
Max Strus,CHI,G,24,1,RFA,Non-Bird,,,,,,,,-
B.J. Johnson,ORL,SF,24,2,RFA,Non-Bird,8,5.8,1.6,0.8,0.3,0.3,,-
Kevin Hervey,OKC,SF,24,1,RFA,Non-Bird,7,2.7,0.3,0.3,0.1,,,-
Jeremiah Martin,BKN,G,,1,RFA,Non-Bird,,,,,,,,-
David Nwaba,BKN,SG,27,4,UFA,,20,13.4,5.2,2.3,0.4,0.6,0.6,-
Chris Chiozza,BKN,PG,24,2,RFA,Non-Bird,,,,,,,,-
William Howard,HOU,SF,26,1,RFA,Non-Bird,,,,,,,,-
Isaiah Hicks,NYK,PF,26,3,RFA,,,,,,,,,-
Kostas Antetokounmpo,LAL,PF,22,1,RFA,Early Bird,3,1.7,,0.3,0.3,,,-
Ray Spalding,CHA,PF,23,2,RFA,Non-Bird,0,,,,,,,-
Yuta Watanabe,MEM,F,25,2,RFA,Early Bird,16,6.1,1.9,1.1,0.3,0.3,0.1,-
Drew Eubanks,SAS,C,23,1,RFA,Early Bird,14,9.3,3.6,2.5,0.4,0.1,0.4,-
Kyle Alexander,MIA,F,23,1,RFA,Non-Bird,,,,,,,,-
Brian Bowen II,IND,F,21,1,RFA,Non-Bird,,,,,,,,-
Jaylen Hoard,POR,F,21,1,RFA,Non-Bird,,,,,,,,-
Charlie Brown Jr.,ATL,F,22,1,RFA,Non-Bird,,,,,,,,-
Adam Mokoka,CHI,SG,22,1,RFA,Non-Bird,,,,,,,,-
Dean Wade,CLE,PF,23,1,RFA,Non-Bird,,,,,,,,-
Tacko Fall,BOS,C,24,1,RFA,Non-Bird,,,,,,,,-
Louis King,DET,SF,21,1,RFA,Non-Bird,,,,,,,,-
Garrison Mathews,WAS,SG,23,1,RFA,Non-Bird,,,,,,,,-
John Konchar,MEM,G,24,1,RFA,Non-Bird,,,,,,,,-
Quinndary Weatherspoon,SAS,SG,24,1,RFA,Non-Bird,,,,,,,,-
Tremont Waters,BOS,PG,22,1,RFA,Non-Bird,,,,,,,,-
Jarrell Brantley,UTH,F,,1,RFA,Non-Bird,,,,,,,,-
Justin Wright-Foreman,UTH,PG,22,1,RFA,,,,,,,,,
Restricted Free Agent,,,,,,,,,,,,,,
Non-Bird,,,,,,,,-,,,,,,
Jared Harper,PHX,PG,23,1,RFA,Non-Bird,,,,,,,,-
Cam Reynolds,MIL,F,25,2,RFA,Non-Bird,0,,,,,,,-
